Method,Constraint,GridSize,NumberOfAgents,PathLength,Time_Median,Time_Average
erlang,IN Square 1 Intersection 1 8,15,10,10,60,60
erlang,IN Square 1 Intersection 1 8,15,10,15,60,60
erlang,IN Square 1 Intersection 1 8,15,10,20,60,60
erlang,IN Square 1 Intersection 1 8,15,15,1,60,60
erlang,IN Square 1 Intersection 1 8,15,15,5,60,60
erlang,IN Square 1 Intersection 1 8,15,15,10,60,60
erlang,IN Square 1 Intersection 1 8,15,15,15,60,60
erlang,IN Square 1 Intersection 1 8,15,15,20,60,60
erlang,IN Square 1 Intersection 1 8,15,20,1,60,60
erlang,IN Square 1 Intersection 1 8,15,20,5,60,60
erlang,IN Square 1 Intersection 1 8,15,20,10,60,60
erlang,IN Square 1 Intersection 1 8,15,20,15,60,57
erlang,IN Square 1 Intersection 1 8,15,20,20,60,44
erlang,IN Square 1 Intersection 1 8,20,10,1,60,60
erlang,IN Square 1 Intersection 1 8,20,10,5,60,60
erlang,IN Square 1 Intersection 1 8,20,10,10,60,60
erlang,IN Square 1 Intersection 1 8,20,10,15,60,60
erlang,IN Square 1 Intersection 1 8,20,10,20,60,60
erlang,IN Square 1 Intersection 1 8,20,15,1,60,60
erlang,IN Square 1 Intersection 1 8,20,15,5,60,60
erlang,IN Square 1 Intersection 1 8,20,15,10,60,60
erlang,IN Square 1 Intersection 1 8,20,15,15,60,60
erlang,IN Square 1 Intersection 1 8,20,15,20,60,60
erlang,IN Square 1 Intersection 1 8,20,20,1,60,60
erlang,IN Square 1 Intersection 1 8,20,20,5,60,60
erlang,IN Square 1 Intersection 1 8,20,20,10,60,60
erlang,IN Square 1 Intersection 1 8,20,20,15,60,60
erlang,IN Square 1 Intersection 1 8,20,20,20,60,60
erlang,IN Square 1 Intersection 1 8,50,10,1,60,60
erlang,IN Square 1 Intersection 1 8,50,10,5,60,60
erlang,IN Square 1 Intersection 1 8,50,10,10,60,60
erlang,IN Square 1 Intersection 1 8,50,10,15,60,60
erlang,IN Square 1 Intersection 1 8,50,10,20,60,60
erlang,IN Square 1 Intersection 1 8,50,15,1,60,60
